iter,diffusion,ULA,tempering,dilation,DAZ
17277,72.82125,19.196669,29.108131,0.5655025,52.665634
17343,72.904335,19.270002,29.185928,0.57024336,52.68477
17408,72.986084,19.342224,29.262547,0.5749443,52.70359
17474,73.068665,19.415558,29.34026,0.5797503,52.722473
17540,73.151245,19.488892,29.41793,0.58458924,52.741356
17605,73.232574,19.561113,29.494425,0.58938736,52.759953
17671,73.315155,19.634447,29.57208,0.5942925,52.778698
17737,73.397736,19.70778,29.649626,0.59923136,52.79733
17803,73.480316,19.781115,29.72717,0.60420406,52.81596
17868,73.561295,19.853336,29.803541,0.6091348,52.83431
17934,73.64337,19.92667,29.88103,0.6141754,52.852715
18000,73.72545,20.000002,29.958448,0.6192504,52.871094
18065,73.80628,20.072226,30.034695,0.62428266,52.889194
18131,73.88836,20.145557,30.112114,0.629427,52.907574
18197,73.970436,20.218891,30.18945,0.63460654,52.925953
18262,74.05127,20.291113,30.265572,0.6397422,52.944252
18328,74.132935,20.364447,30.342865,0.6449922,52.962883
18394,74.21451,20.43778,30.420158,0.65027803,52.981514
18460,74.29608,20.511114,30.497356,0.65559995,53.000168
18525,74.37642,20.583336,30.573355,0.66087675,53.018764
18591,74.45799,20.65667,30.650522,0.66627103,53.037647
18657,74.539566,20.730003,30.72769,0.6717019,53.05653
18722,74.6199,20.802225,30.803602,0.6770866,53.075233
18788,74.70124,20.875559,30.880644,0.6825912,53.094368
18854,74.78231,20.94889,30.957685,0.68813324,53.113503
18919,74.86215,21.021114,31.03356,0.69362825,53.132347
18985,74.94322,21.094448,31.110542,0.69924533,53.151688
19051,75.02429,21.16778,31.187458,0.70490056,53.171074
19116,75.10413,21.240004,31.263208,0.71050775,53.190166
19182,75.1852,21.313335,31.340124,0.71623945,53.209618
19248,75.26627,21.38667,31.417028,0.7220101,53.229256
19314,75.347046,21.460003,31.493818,0.72781974,53.248894
19379,75.42639,21.532225,31.569445,0.7335798,53.268234
19445,75.50696,21.605558,31.646235,0.73946786,53.28806
19511,75.587524,21.678892,31.723024,0.74539566,53.30795
19576,75.66687,21.751114,31.798584,0.7512728,53.327538
19642,75.74744,21.824448,31.875248,0.7572804,53.347496
19708,75.828,21.897781,31.951912,0.7633286,53.367638
19773,75.90735,21.970003,32.02737,0.769325,53.387474
19839,75.98788,22.043337,32.10391,0.77545446,53.407616
19905,76.06794,22.116669,32.180447,0.7816252,53.42797
19970,76.14679,22.188892,32.255825,0.7877431,53.448055
20036,76.22685,22.262224,32.332363,0.79399663,53.46845
20102,76.306915,22.335558,32.4089,0.8002922,53.488956
20168,76.38698,22.408892,32.48544,0.8066301,53.5096
20233,76.46583,22.481113,32.560818,0.81291366,53.529934
20299,76.54589,22.554447,32.637356,0.8193364,53.550602
20365,76.62595,22.62778,32.713818,0.82580245,53.5715
20430,76.7048,22.700003,32.788948,0.8322128,53.59208
20496,76.78443,22.773336,32.865234,0.8387649,53.612976
20562,76.86399,22.84667,32.94152,0.84536093,53.63407
20627,76.942345,22.918892,33.01665,0.85190016,53.6549
20693,77.021904,22.992226,33.092937,0.8585841,53.67605
20759,77.10146,23.06556,33.169224,0.8653127,53.697323
20824,77.17982,23.137781,33.244354,0.87198323,53.7184
20890,77.25938,23.211115,33.32064,0.8788013,53.7398
20956,77.338936,23.284447,33.396927,0.8856648,53.761265
21022,77.418495,23.35778,33.473213,0.89257413,53.782917
21087,77.49685,23.430002,33.548218,0.8994237,53.80424
21153,77.576,23.503336,33.624252,0.90642464,53.825905
21219,77.65505,23.57667,33.700287,0.9134722,53.84781
21284,77.73291,23.648891,33.77517,0.92045873,53.86938
21350,77.811966,23.722225,33.851204,0.9275995,53.891285
21416,77.89102,23.795559,33.92724,0.93478763,53.913406
21481,77.96888,23.86778,34.00212,0.94191355,53.935226
21547,78.047935,23.941114,34.078156,0.9491966,53.957382
21613,78.12699,24.014448,34.15419,0.956528,53.97972
21679,78.20605,24.08778,34.230225,0.9639079,54.00213
21744,78.283905,24.160004,34.305107,0.97122365,54.024197
21810,78.36296,24.233337,34.38114,0.97870076,54.046757
21876,78.441605,24.30667,34.45702,0.9862272,54.069416
21941,78.51897,24.378893,34.531654,0.9936882,54.091732
22007,78.59752,24.452225,34.607437,1.0013134,54.114525
22073,78.67607,24.525558,34.68322,1.0089891,54.137436
22138,78.75343,24.59778,34.757854,1.0165979,54.16
22204,78.831985,24.671114,34.833637,1.0243739,54.18303
22270,78.91054,24.744448,34.90942,1.0322013,54.206192
22335,78.9879,24.81667,34.984055,1.0399603,54.229004
22401,79.06645,24.890003,35.059837,1.0478903,54.252277
22467,79.145004,24.963337,35.13562,1.0558722,54.275692
22533,79.22356,25.03667,35.211403,1.063906,54.299107
22598,79.30092,25.108892,35.286037,1.0718697,54.322277
22664,79.37914,25.182226,35.36182,1.0800084,54.345943
22730,79.45719,25.255558,35.4375,1.0882002,54.36961
22795,79.53406,25.327782,35.511887,1.0963203,54.393036
22861,79.61211,25.401114,35.587418,1.1046187,54.416954
22927,79.690155,25.474447,35.66295,1.1129712,54.440872
22992,79.76702,25.54667,35.737335,1.1212504,54.46456
23058,79.84507,25.620003,35.812866,1.1297112,54.48873
23124,79.92312,25.693336,35.888397,1.1382271,54.5129
23189,79.999985,25.765558,35.962784,1.146668,54.536858
23255,80.07803,25.838892,36.038315,1.155294,54.56128
23321,80.15608,25.912226,36.113846,1.163976,54.5857
23387,80.23413,25.98556,36.189377,1.1727142,54.610306
23452,80.311,26.057781,36.263763,1.1813755,54.634605
23518,80.389,26.131115,36.339294,1.1902263,54.65928
23584,80.466545,26.204449,36.414825,1.1991347,54.68417
23649,80.542915,26.27667,36.489212,1.2079638,54.708717
23715,80.62046,26.350004,36.564594,1.2169865,54.733646
23781,80.698006,26.423336,36.639874,1.2260675,54.758823
23846,80.774376,26.49556,36.714012,1.2350681,54.78362
23912,80.85192,26.568892,36.78929,1.2442654,54.80884
23978,80.92947,26.642225,36.86457,1.2535219,54.83427
24044,81.00701,26.715559,36.93985,1.2628379,54.8597
24109,81.08338,26.78778,37.01399,1.272071,54.88484
24175,81.16093,26.861115,37.089268,1.2815061,54.91052
24241,81.23847,26.934448,37.164547,1.2910014,54.9362
24306,81.31484,27.00667,37.238686,1.3004123,54.96164
24372,81.39239,27.080004,37.313965,1.3100287,54.98757
24438,81.46993,27.153337,37.389244,1.3197066,55.013504
24503,81.5463,27.22556,37.463383,1.3292981,55.039253
24569,81.62347,27.298893,37.538662,1.3390987,55.065437
24635,81.70051,27.372225,37.61394,1.348962,55.09165
24700,81.77638,27.444448,37.68808,1.3587369,55.117683
24766,81.853424,27.517782,37.76336,1.368725,55.14412
24832,81.930466,27.591114,37.838448,1.3787766,55.170654
24898,82.00751,27.664448,37.913475,1.3888918,55.197342
24963,82.08338,27.73667,37.987366,1.3989165,55.223625
25029,82.16042,27.810003,38.062393,1.4091594,55.250484
25095,82.237465,27.883337,38.13742,1.4194672,55.277424
25160,82.31334,27.955559,38.21131,1.4296823,55.303955
25226,82.39038,28.028893,38.28634,1.4401196,55.331146
25292,82.46742,28.102226,38.361366,1.4506227,55.358337
25357,82.5433,28.174448,38.435257,1.4610312,55.3852
25423,82.62034,28.247782,38.510284,1.4716661,55.412643
25489,82.69738,28.321115,38.58531,1.4823675,55.440086
25554,82.773254,28.393337,38.659203,1.4929729,55.467285
25620,82.850296,28.466671,38.73423,1.5038079,55.49498
25686,82.92722,28.540003,38.809258,1.5147113,55.522694
25752,83.00376,28.613337,38.884285,1.5256827,55.55064
25817,83.07914,28.685558,38.958176,1.5365549,55.578163
25883,83.15568,28.758892,39.033203,1.5476627,55.606224
25949,83.232216,28.832226,39.10823,1.5588399,55.634422
26014,83.307594,28.904448,39.18212,1.5699159,55.662193
26080,83.38413,28.977781,39.257084,1.5812317,55.690605
26146,83.46067,29.051115,39.33186,1.5926179,55.719055
26211,83.53605,29.123337,39.405502,1.6039007,55.747143
26277,83.61259,29.19667,39.480278,1.6154276,55.775845
26343,83.689125,29.270004,39.555054,1.6270258,55.804546
26408,83.7645,29.342226,39.628696,1.6385186,55.83299
26474,83.84104,29.41556,39.703472,1.6502597,55.861942
26540,83.91758,29.488894,39.778248,1.6620735,55.890938
26606,83.99412,29.562225,39.853024,1.6739599,55.920143
26671,84.069496,29.634449,39.926666,1.6857377,55.948906
26737,84.146034,29.70778,40.001442,1.6977699,55.978268
26803,84.22257,29.781115,40.076218,1.7098756,56.007725
26868,84.29795,29.853336,40.14986,1.7218705,56.03676
26934,84.37449,29.92667,40.224636,1.7341247,56.066467
27000,84.45103,30.000004,40.29941,1.7464535,56.096176
27065,84.52603,30.072226,40.373055,1.7586693,56.125584
27131,84.602066,30.14556,40.44783,1.7711482,56.155544
27197,84.6781,30.218893,40.522606,1.7837031,56.18553
27263,84.754135,30.292227,40.59738,1.7963346,56.215744
27328,84.82902,30.364449,40.671024,1.8088498,56.2455
27394,84.90505,30.437782,40.7458,1.8216343,56.275864
27460,84.98109,30.511114,40.820576,1.8344963,56.306328
27525,85.05597,30.583338,40.89422,1.8472396,56.336365
27591,85.132,30.656672,40.968945,1.8602567,56.36708
27657,85.20804,30.730003,41.04347,1.8733525,56.397797
27722,85.28292,30.802227,41.116863,1.8863273,56.42822
27788,85.358955,30.875559,41.191387,1.8995802,56.459187
27854,85.43499,30.948893,41.26591,1.9129132,56.490215
27919,85.50987,31.021114,41.339306,1.9261225,56.52096
27985,85.58591,31.094448,41.41383,1.939615,56.55218
28051,85.66194,31.167782,41.488354,1.9531884,56.583603
28117,85.737976,31.241116,41.562878,1.9668431,56.615074
28182,85.81286,31.313337,41.636272,1.9803708,56.64616
28248,85.88889,31.386671,41.710796,1.9941878,56.677883
28314,85.96493,31.460005,41.78532,2.0080874,56.709606
28379,86.03981,31.532227,41.858715,2.0218573,56.74109
28445,86.115845,31.60556,41.93324,2.0359213,56.773064
