iter,TV_gt,ULA,dilation,tempering,diffusion,DAZ
12500,0.061326735,1.4006430864334107,1.1762489795684814,0.7928092956542969,0.22484065592288965,0.4314363121986389
13000,0.061019838,1.4005483388900757,1.1760605812072753,0.7921643614768982,0.2222261756658554,0.4339541018009186
13500,0.05649703,1.400763702392578,1.1760680437088014,0.7921588301658631,0.22827580273151393,0.43903775215148927
14000,0.05496784,1.4006452798843383,1.176468062400818,0.7928708791732788,0.22008509337902066,0.4372833251953125
14500,0.055251114,1.4006493806838989,1.1761563777923585,0.7926617622375488,0.21899262368679043,0.4330545663833618
15000,0.053969793,1.4009600639343263,1.1760688066482543,0.793107807636261,0.22474299967288966,0.4327461004257202
15500,0.059103955,1.4006753444671631,1.1762856721878052,0.7928742170333862,0.22024345993995662,0.43769776821136475
16000,0.053876035,1.400707221031189,1.1764214038848877,0.7929567933082581,0.22159136533737184,0.43528969287872316
16500,0.058327533,1.4007474899291992,1.1761203289031983,0.792001235485077,0.22307296693325038,0.4389715790748596
17000,0.058435768,1.400654196739197,1.1762754917144775,0.7929957032203674,0.223195931315422,0.4390450656414032
17500,0.06277195,1.4006397724151611,1.1763370513916016,0.7929129242897034,0.22566363215446467,0.433740496635437
18000,0.05517907,1.4006756067276,1.1761688709259033,0.7925449252128601,0.22445909082889556,0.4373215675354004
18500,0.060346805,1.4008315086364747,1.1763843059539796,0.7926972508430481,0.22589896321296693,0.4344639778137206
19000,0.056729306,1.4007402896881103,1.1762919664382934,0.7934309363365173,0.22310321927070614,0.4400662064552307
19500,0.05619346,1.4006716728210449,1.176377034187317,0.7924049139022827,0.2217860579490661,0.4373995900154114
20000,0.060346555,1.400547480583191,1.1763575077056885,0.7931259870529175,0.22352393567562098,0.43783689141273496
20500,0.058245413,1.40060555934906,1.1763607263565063,0.7925213694572448,0.22440554499626156,0.4346705377101898
21000,0.06239282,1.4006421089172363,1.1761953592300416,0.7917585849761963,0.22345917820930478,0.4389813780784607
21500,0.057950504,1.400607657432556,1.176691484451294,0.7925332307815551,0.22157007753849026,0.4358578026294708
22000,0.06320621,1.4006911039352417,1.1763552665710448,0.7922975063323975,0.2237963825464248,0.43892713189125054
22500,0.054535042,1.400620126724243,1.1763749837875366,0.7927897095680236,0.22216931581497187,0.4389644503593445
23000,0.05930208,1.400586438179016,1.1764816761016845,0.7928916811943054,0.22440050542354578,0.4362283945083618
23500,0.056210957,1.4006888151168826,1.1766398906707765,0.7912961363792419,0.22353568375110622,0.4329717755317688
24000,0.057446826,1.4005956649780273,1.176582407951355,0.7928389787673951,0.22103744447231288,0.4381362318992615
24500,0.061609436,1.4006999731063843,1.1767005443572998,0.7923441529273987,0.22292186319828028,0.4373247802257538
25000,0.055719446,1.4007059335708618,1.1762842416763306,0.7930495858192443,0.22094190716743464,0.4353673577308655
25500,0.051984172,1.4005582094192506,1.176271414756775,0.793057382106781,0.2223833113908767,0.4381781280040741
26000,0.05477584,1.4006811380386353,1.1764997243881226,0.7932486295700073,0.22299967408180232,0.4346346497535706
26500,0.05520434,1.4006827831268311,1.176580834388733,0.7920915007591247,0.22001006305217738,0.44005090594291685
27000,0.057216346,1.400650429725647,1.176440954208374,0.7933217525482178,0.21979938149452205,0.44349449276924136
27500,0.0577771,1.400671410560608,1.1763551712036133,0.7930684328079224,0.22306871116161342,0.4383061707019806
28000,0.055571247,1.400616669654846,1.176488423347473,0.7924431920051574,0.22171905636787415,0.4342874109745026
28500,0.05752639,1.4007426738739013,1.1764409065246582,0.7924513101577759,0.22430751025676723,0.4376775920391083
29000,0.05942587,1.4005711555480957,1.176446795463562,0.7930660843849182,0.22241944372653957,0.43801590204238894
