iter,diffusion,ULA,tempering,dilation,DAZ
1196,0.0013706853,0.0013706853,0.09936276,0.9632776,0.0061349
1203,0.0013572017,0.0013572017,0.09850218,0.9630016,0.0061170114
1209,0.0013457739,0.0013457739,0.0977712,0.9627635,0.0061018043
1216,0.0013325894,0.0013325894,0.09692602,0.96248376,0.0060842037
1222,0.0013214144,0.0013214144,0.096208066,0.9622424,0.006069238
1229,0.0013085196,0.0013085196,0.09537792,0.961959,0.006051915
1235,0.001297589,0.001297589,0.09467272,0.9617144,0.0060371873
1242,0.0012849771,0.0012849771,0.0938573,0.96142715,0.0060201376
1249,0.0012725132,0.0012725132,0.09304968,0.96113783,0.006003233
1255,0.0012619465,0.0012619465,0.092363596,0.96088815,0.0059888572
1262,0.001249752,0.001249752,0.09157022,0.96059495,0.0059722145
1268,0.0012394127,0.0012394127,0.09089621,0.960342,0.0059580607
1275,0.0012274802,0.0012274802,0.09011681,0.96004486,0.005941671
1281,0.0012173625,0.0012173625,0.089454606,0.9597885,0.005927731
1288,0.0012056854,0.0012056854,0.08868886,0.95948744,0.0059115905
1295,0.0011941423,0.0011941423,0.08793032,0.95918417,0.0058955816
1301,0.0011843534,0.0011843534,0.08728587,0.9589225,0.005881963
1308,0.0011730546,0.0011730546,0.08654057,0.95861524,0.005866193
1314,0.0011634724,0.0011634724,0.08590733,0.95835006,0.0058527766
1321,0.0011524113,0.0011524113,0.085174955,0.9580386,0.0058372384
1327,0.00114303,0.00114303,0.08455271,0.95777,0.0058240183
1334,0.0011321999,0.0011321999,0.08383304,0.95745444,0.0058087087
1341,0.0011214918,0.0011214918,0.08312009,0.95713663,0.00579352
1347,0.0011124093,0.0011124093,0.0825143,0.95686245,0.005780594
1354,0.001101923,0.001101923,0.081813656,0.9565404,0.0057656243
1360,0.0010930275,0.0010930275,0.08121829,0.9562626,0.0057528843
1367,0.0010827575,0.0010827575,0.080529675,0.9559363,0.0057381284
1373,0.0010740451,0.0010740451,0.079944514,0.9556548,0.0057255696
1380,0.0010639853,0.0010639853,0.0792677,0.9553242,0.00571102
1387,0.001054036,0.001054036,0.07859714,0.9549912,0.0056965835
1393,0.0010455949,0.0010455949,0.07802733,0.954704,0.0056842947
1400,0.0010358476,0.0010358476,0.07736821,0.9543666,0.005670058
1406,0.0010275778,0.0010275778,0.076808065,0.9540755,0.0056579392
1413,0.001018028,0.001018028,0.07616017,0.95373374,0.0056439005
1419,0.001009925,0.001009925,0.07560956,0.9534388,0.005631948
1426,0.001000567,0.001000567,0.074972644,0.9530925,0.0056180973
1433,0.0009913103,0.0009913103,0.074341565,0.95274377,0.005604355
1439,0.0009834557,0.0009834557,0.073805235,0.9524428,0.0055926545
1446,0.0009743833,0.0009743833,0.073184796,0.9520895,0.0055790944
1452,0.00096668483,0.00096668483,0.07265749,0.9517846,0.0055675497
1459,0.0009577928,0.0009577928,0.07204755,0.9514266,0.005554172
1466,0.0009489956,0.0009489956,0.07144314,0.95106614,0.00554089
1472,0.0009415301,0.0009415301,0.07092945,0.9507551,0.0055295834
1479,0.0009329058,0.0009329058,0.07033518,0.95038986,0.005516473
1485,0.0009255868,0.0009255868,0.069830105,0.95007473,0.0055053104
1492,0.0009171318,0.0009171318,0.06924576,0.9497047,0.0054923757
1498,0.000909956,0.000909956,0.0687491,0.9493855,0.0054813586
1505,0.00090166565,0.00090166565,0.06817453,0.9490106,0.0054685897
1512,0.00089346245,0.00089346245,0.06760513,0.94863313,0.00545591
1518,0.0008864997,0.0008864997,0.067121156,0.94830745,0.0054451115
1525,0.00087845535,0.00087845535,0.06656124,0.9479251,0.005432593
1531,0.00087162707,0.00087162707,0.066085294,0.9475952,0.0054219333
